query_id,scene_id,object_a,object_b,available_points_a,available_points_b,n_points_requested,seed,sampled_distance_m,full_point_distance_m,stored_gt_distance_m,abs_error_vs_full_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,512,4,0.17116459706464981,0.16706469218811415,0.1670646965503692,0.004099904876535665,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,1000,0,0.16918166072210244,0.16706469218811415,0.1670646965503692,0.002116968533988295,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,1000,1,0.17185006844081366,0.16706469218811415,0.1670646965503692,0.004785376252699508,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,1000,2,0.16922839631373982,0.16706469218811415,0.1670646965503692,0.002163704125625665,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,1000,3,0.1680896869760159,0.16706469218811415,0.1670646965503692,0.0010249947879017451,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,1000,4,0.172538222785744,0.16706469218811415,0.1670646965503692,0.005473530597629839,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,2000,0,0.16899457292635756,0.16706469218811415,0.1670646965503692,0.0019298807382434058,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,2000,1,0.16829318293439563,0.16706469218811415,0.1670646965503692,0.0012284907462814798,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,2000,2,0.16886368016436987,0.16706469218811415,0.1670646965503692,0.001798987976255717,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,2000,3,0.17067993488618835,0.16706469218811415,0.1670646965503692,0.0036152426980742003,4.3622550571775776e-09
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,scene0050_02__table_011,8320,3777,2000,4,0.1683584810852328,0.16706469218811415,0.1670646965503692,0.0012937888971186473,4.3622550571775776e-09
